sid,name,manufacturer,game_type,denomination,volatility_text,volatility_score,location,map_url,source_url,casino,scraped_at
367,Mo Mummy Spooky (Mc) (Md) (Prog),Aristocrat,Video,$0.02,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=367,https://www.coushattacasinoresort.com/slot-map.php?sid=367,Coushatta Casino Resort,2026-08-27T20:35:22.194310+00:00
368,Mo Mummy Spooky (Mc) (Md) (Prog),Aristocrat,Video,$0.05,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=368,https://www.coushattacasinoresort.com/slot-map.php?sid=368,Coushatta Casino Resort,2026-08-27T20:35:22.192286+00:00
1596,Mo Mummy: Mighty Pyramid (Mc)(Md)Pr,Aristocrat,Video,$0.01,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1596,https://www.coushattacasinoresort.com/slot-map.php?sid=1596,Coushatta Casino Resort,2026-08-27T20:35:43.409101+00:00
1597,Mo Mummy: Mighty Pyramid (Mc)(Md)Pr,Aristocrat,Video,$0.02,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1597,https://www.coushattacasinoresort.com/slot-map.php?sid=1597,Coushatta Casino Resort,2026-08-27T20:35:43.414484+00:00
1598,Mo Mummy: Mighty Pyramid (Mc)(Md)Pr,Aristocrat,Video,$0.05,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1598,https://www.coushattacasinoresort.com/slot-map.php?sid=1598,Coushatta Casino Resort,2026-08-27T20:35:43.433447+00:00
1599,Mo Mummy: Mighty Pyramid (Mc)(Md)Pr,Aristocrat,Video,$0.10,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1599,https://www.coushattacasinoresort.com/slot-map.php?sid=1599,Coushatta Casino Resort,2026-08-27T20:35:43.447660+00:00
1611,Mo Mummy: Mighty Pyramid (Mc)(Md)Pr,Aristocrat,Video,$1.00,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1611,https://www.coushattacasinoresort.com/slot-map.php?sid=1611,Coushatta Casino Resort,2026-08-27T20:35:43.716036+00:00
1600,Mo Mummy:Valley Of Riches (Mc)(Md)P,Aristocrat,Video,$0.01,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1600,https://www.coushattacasinoresort.com/slot-map.php?sid=1600,Coushatta Casino Resort,2026-08-27T20:35:43.495059+00:00
1601,Mo Mummy:Valley Of Riches (Mc)(Md)P,Aristocrat,Video,$0.02,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1601,https://www.coushattacasinoresort.com/slot-map.php?sid=1601,Coushatta Casino Resort,2026-08-27T20:35:43.483784+00:00
1602,Mo Mummy:Valley Of Riches (Mc)(Md)P,Aristocrat,Video,$0.05,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1602,https://www.coushattacasinoresort.com/slot-map.php?sid=1602,Coushatta Casino Resort,2026-08-27T20:35:43.509448+00:00
1603,Mo Mummy:Valley Of Riches (Mc)(Md)P,Aristocrat,Video,$0.10,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1603,https://www.coushattacasinoresort.com/slot-map.php?sid=1603,Coushatta Casino Resort,2026-08-27T20:35:43.530074+00:00
1610,Mo Mummy:Valley Of Riches (Mc)(Md)P,Aristocrat,Video,$1.00,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1610,https://www.coushattacasinoresort.com/slot-map.php?sid=1610,Coushatta Casino Resort,2026-08-27T20:35:43.692521+00:00
473,Money Comb,IGT,Video,$0.01,Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=473,https://www.coushattacasinoresort.com/slot-map.php?sid=473,Coushatta Casino Resort,2026-08-27T20:35:23.876251+00:00
1281,Money In The Bank Bacon Blvd (Pr),Konami,Video,$0.01,Medium - High,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1281,https://www.coushattacasinoresort.com/slot-map.php?sid=1281,Coushatta Casino Resort,2026-08-27T20:35:38.400975+00:00
1186,Monkey Treasure Mc Md Prog,AGS,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1186,https://www.coushattacasinoresort.com/slot-map.php?sid=1186,Coushatta Casino Resort,2026-08-27T20:35:36.785927+00:00
104,Monopoly Cash Wheel 3X Dble Jp Wild,Light & Wonder,Reel,$1.00,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=104,https://www.coushattacasinoresort.com/slot-map.php?sid=104,Coushatta Casino Resort,2026-08-27T20:35:17.634661+00:00
1378,Monopoly X:Beijing Railroad Mc Md P,Light & Wonder,Video,$0.01,Medium - High,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1378,https://www.coushattacasinoresort.com/slot-map.php?sid=1378,Coushatta Casino Resort,2026-08-27T20:35:40.532873+00:00
1377,Monopoly X:Pacific Station Mc Md Pr,Light & Wonder,Video,$0.01,Medium - High,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1377,https://www.coushattacasinoresort.com/slot-map.php?sid=1377,Coushatta Casino Resort,2026-08-27T20:35:40.514654+00:00
1689,Monopoly:Big Board Bucks Mc Md Prog,Aristocrat,Video,$0.01,Medium - Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1689,https://www.coushattacasinoresort.com/slot-map.php?sid=1689,Coushatta Casino Resort,2026-08-27T20:35:45.258411+00:00
1464,Mr. Caliente'S Dance Party Md Prog,Aruze,Video,$0.01,Medium - High,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1464,https://www.coushattacasinoresort.com/slot-map.php?sid=1464,Coushatta Casino Resort,2026-08-27T20:35:42.051216+00:00
1465,Mr. Dig-Me A Winner Md Prog,Aruze,Video,$0.01,Medium - High,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1465,https://www.coushattacasinoresort.com/slot-map.php?sid=1465,Coushatta Casino Resort,2026-08-27T20:35:42.011862+00:00
49,Multi-Card Keno,IGT,Video,$0.05,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=49,https://www.coushattacasinoresort.com/slot-map.php?sid=49,Coushatta Casino Resort,2026-08-27T20:35:16.385854+00:00
50,Multi-Card Keno,IGT,Video,$0.10,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=50,https://www.coushattacasinoresort.com/slot-map.php?sid=50,Coushatta Casino Resort,2026-08-27T20:35:16.372236+00:00
62,Multi-Card Keno,IGT,Poker,$0.02,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=62,https://www.coushattacasinoresort.com/slot-map.php?sid=62,Coushatta Casino Resort,2026-08-27T20:35:16.620902+00:00
63,Multi-Card Keno,IGT,Poker,$0.05,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=63,https://www.coushattacasinoresort.com/slot-map.php?sid=63,Coushatta Casino Resort,2026-08-27T20:35:16.674913+00:00
64,Multi-Card Keno,IGT,Poker,$0.10,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=64,https://www.coushattacasinoresort.com/slot-map.php?sid=64,Coushatta Casino Resort,2026-08-27T20:35:16.832241+00:00
173,Multi-Card Keno,IGT Poker,Poker,$0.02,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=173,https://www.coushattacasinoresort.com/slot-map.php?sid=173,Coushatta Casino Resort,2026-08-27T20:35:19.067809+00:00
174,Multi-Card Keno,IGT Poker,Poker,$0.05,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=174,https://www.coushattacasinoresort.com/slot-map.php?sid=174,Coushatta Casino Resort,2026-08-27T20:35:19.124549+00:00
246,Multi-Card Keno,IGT Poker,Poker,$0.10,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=246,https://www.coushattacasinoresort.com/slot-map.php?sid=246,Coushatta Casino Resort,2026-08-27T20:35:20.441565+00:00
493,Mystical Mermaid,IGT,Video,$0.10,Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=493,https://www.coushattacasinoresort.com/slot-map.php?sid=493,Coushatta Casino Resort,2026-08-27T20:35:24.322327+00:00
1787,Mystical Mermaid 20 line,IGT,Video,$0.01,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=1787,https://www.coushattacasinoresort.com/slot-map.php?sid=1787,Coushatta Casino Resort,2026-08-27T20:35:47.262969+00:00
